team,att_strength,def_strength,att_perc,def_perc,season
Ga. Southern,0.30043266735000473,0.5353937617762843,60.0,11.219512195121952,2016
Gardner-Webb,-0.1818615978698596,0.8434945506632505,16.585365853658537,3.902439024390244,2016
George Mason,0.0878967397210543,0.13343102603794166,37.073170731707314,40.0,2016
George Washington,-0.07781752309781666,0.27261932482315376,23.902439024390244,26.34146341463415,2016
Georgetown,0.7262560307098076,-0.7252817071498869,92.19512195121952,97.07317073170731,2016
Georgia St.,0.5287432837747614,0.5758183900168234,82.92682926829268,9.75609756097561,2016
Gonzaga,0.043009106430318966,-0.08124576193703904,32.19512195121951,67.8048780487805,2016
Grand Canyon,0.35080645838797864,0.5258190981908135,66.82926829268293,12.682926829268293,2016
Green Bay,-0.5771827478833362,0.052015979677212776,3.414634146341464,47.80487804878049,2016
Hartford,0.209184853533439,0.038464948551972,45.36585365853659,49.26829268292683,2016
Hartwick,0.15761782966877502,-0.05729402013238277,40.487804878048784,64.39024390243902,2016
Harvard,0.5670280716159954,-0.07845666969625548,84.8780487804878,66.82926829268293,2016
High Point,-0.20926495489000752,-0.22228023959618556,15.121951219512194,79.02439024390245,2016
Hofstra,0.43985744157345175,-0.14633310902764662,76.09756097560975,72.6829268292683,2016
Holy Cross,-0.07888202105390635,-0.4169752691838321,23.414634146341466,86.82926829268293,2016
Houston Baptist,0.2561727697439321,0.27029440499543084,53.170731707317074,27.31707317073171,2016
Howard,-0.3512388590481917,1.0004681144219367,9.268292682926829,1.4634146341463417,2016
IPFW,-0.03233268952965865,0.6274510137363644,27.80487804878049,7.804878048780488,2016
IUPUI,-0.08156257111352037,0.3978147025148454,22.926829268292686,20.0,2016
Ill.-Chicago,0.2570910533931841,-0.17093173536595208,53.65853658536586,76.58536585365854,2016
Incarnate Word,0.4655164008388502,0.3534705343843675,79.51219512195122,21.951219512195124,2016
Indiana,0.4151811227800932,-0.6617431089982128,74.63414634146342,95.60975609756098,2016
Iona,0.26507986411521944,-0.09862633742093166,54.146341463414636,69.26829268292683,2016
Jacksonville,-0.0984510509333794,0.6441913818694801,21.951219512195124,7.317073170731707,2016
James Madison,-0.13785770211439932,0.22664649589393104,20.0,32.6829268292683,2016
Kentucky,0.2913643087252861,-0.6454906055991735,58.536585365853654,94.14634146341463,2016
